year,month,day,hour,demand (MW)
2007,12,31,23,66320
2007,12,31,24,64074
2008,1,1,1,64148
2008,1,1,2,61385
2008,1,1,3,58445
2008,1,1,4,56916
2008,1,1,5,56283
2008,1,1,6,55876
2008,1,1,7,55665
2008,1,1,8,55633
2008,1,1,9,57293
2008,1,1,10,59103
2008,1,1,11,60772
2008,1,1,12,62146
2008,1,1,13,59492
2008,1,1,14,57231
2008,1,1,15,56783
2008,1,1,16,59509
2008,1,1,17,65154
2008,1,1,18,67793
2008,1,1,19,68108
2008,1,1,20,66634
2008,1,1,21,65312
2008,1,1,22,66712
2008,1,1,23,64725
2008,1,1,24,62157
2008,1,2,1,62570
2008,1,2,2,60637
2008,1,2,3,59190
2008,1,2,4,60472
2008,1,2,5,63733
2008,1,2,6,68314
2008,1,2,7,72715
2008,1,2,8,74891
2008,1,2,9,76629
2008,1,2,10,77391
2008,1,2,11,78294
2008,1,2,12,78341
2008,1,2,13,77328
2008,1,2,14,75410
2008,1,2,15,74730
2008,1,2,16,76888
2008,1,2,17,81462
2008,1,2,18,82547
2008,1,2,19,79702
2008,1,2,20,75920
2008,1,2,21,73442
2008,1,2,22,73722
2008,1,2,23,71380
2008,1,2,24,68444
2008,1,3,1,68366
2008,1,3,2,66030
2008,1,3,3,64187
2008,1,3,4,64922
2008,1,3,5,67722
2008,1,3,6,72430
2008,1,3,7,76679
2008,1,3,8,78167
2008,1,3,9,79644
2008,1,3,10,80496
2008,1,3,11,80965
2008,1,3,12,80828
2008,1,3,13,80156
2008,1,3,14,78096
2008,1,3,15,77114
2008,1,3,16,78346
2008,1,3,17,81636
2008,1,3,18,82046
2008,1,3,19,78563
2008,1,3,20,74363
2008,1,3,21,71534
2008,1,3,22,71700
2008,1,3,23,69615
2008,1,3,24,66583
2008,1,4,1,66489
2008,1,4,2,64003
2008,1,4,3,62147
2008,1,4,4,62508
2008,1,4,5,65475
2008,1,4,6,70103
2008,1,4,7,74353
2008,1,4,8,75890
2008,1,4,9,76908
2008,1,4,10,77261
2008,1,4,11,77207
2008,1,4,12,76649
2008,1,4,13,75530
2008,1,4,14,73384
2008,1,4,15,71916
2008,1,4,16,73143
2008,1,4,17,77099
2008,1,4,18,77713
2008,1,4,19,74513
2008,1,4,20,70742
2008,1,4,21,68311
2008,1,4,22,68993
2008,1,4,23,66607
2008,1,4,24,63282
2008,1,5,1,62657
2008,1,5,2,59659
2008,1,5,3,57153
2008,1,5,4,56206
2008,1,5,5,57151
2008,1,5,6,59097
2008,1,5,7,61421
2008,1,5,8,63487
2008,1,5,9,65481
2008,1,5,10,66355
2008,1,5,11,67449
2008,1,5,12,68454
2008,1,5,13,66486
2008,1,5,14,64591
2008,1,5,15,63381
2008,1,5,16,64796
2008,1,5,17,68511
2008,1,5,18,69588
2008,1,5,19,67478
2008,1,5,20,64514
2008,1,5,21,62528
2008,1,5,22,64217
2008,1,5,23,62151
2008,1,5,24,58991
2008,1,6,1,58219
2008,1,6,2,55234
2008,1,6,3,52584
2008,1,6,4,51500
2008,1,6,5,51577
2008,1,6,6,52523
2008,1,6,7,53808
2008,1,6,8,55298
2008,1,6,9,57819
2008,1,6,10,59842
2008,1,6,11,61313
2008,1,6,12,62124
2008,1,6,13,59453
2008,1,6,14,57049
2008,1,6,15,55913
2008,1,6,16,57525
2008,1,6,17,63176
2008,1,6,18,65774
2008,1,6,19,65154
2008,1,6,20,62541
2008,1,6,21,60229
2008,1,6,22,61013
2008,1,6,23,59091
2008,1,6,24,56525
2008,1,7,1,56478
2008,1,7,2,54141
2008,1,7,3,52545
2008,1,7,4,53949
2008,1,7,5,58895
2008,1,7,6,66585
2008,1,7,7,71207
2008,1,7,8,70916
2008,1,7,9,70550
2008,1,7,10,70282
2008,1,7,11,69906
2008,1,7,12,69784
2008,1,7,13,68854
2008,1,7,14,66865
2008,1,7,15,65866
2008,1,7,16,67883
2008,1,7,17,73624
2008,1,7,18,75459
2008,1,7,19,72599
2008,1,7,20,68278
2008,1,7,21,65489
2008,1,7,22,66240
2008,1,7,23,64087
2008,1,7,24,61096
2008,1,8,1,61211
2008,1,8,2,59017
2008,1,8,3,57562
2008,1,8,4,58660
2008,1,8,5,63001
2008,1,8,6,70814
2008,1,8,7,75186
2008,1,8,8,74821
2008,1,8,9,74403
2008,1,8,10,74300
2008,1,8,11,73927
2008,1,8,12,73301
2008,1,8,13,72203
2008,1,8,14,70372
2008,1,8,15,69938
2008,1,8,16,71805
2008,1,8,17,76859
2008,1,8,18,78315
2008,1,8,19,75146
2008,1,8,20,70692
2008,1,8,21,67784
2008,1,8,22,68102
2008,1,8,23,65760
2008,1,8,24,62452
2008,1,9,1,62170
2008,1,9,2,59624
2008,1,9,3,57916
2008,1,9,4,58697
2008,1,9,5,62693
2008,1,9,6,69277
2008,1,9,7,73951
2008,1,9,8,74435
2008,1,9,9,74524
2008,1,9,10,74389
2008,1,9,11,73965
2008,1,9,12,73321
2008,1,9,13,72565
2008,1,9,14,70530
2008,1,9,15,69336
2008,1,9,16,70601
2008,1,9,17,75086
2008,1,9,18,76779
2008,1,9,19,73826
2008,1,9,20,69633
2008,1,9,21,66825
2008,1,9,22,67408
2008,1,9,23,65218
2008,1,9,24,62444
2008,1,10,1,62412
2008,1,10,2,60061
2008,1,10,3,58325
2008,1,10,4,59138
2008,1,10,5,63455
2008,1,10,6,71122
2008,1,10,7,75371
2008,1,10,8,74750
2008,1,10,9,74335
2008,1,10,10,74057
2008,1,10,11,73758
2008,1,10,12,73117
2008,1,10,13,72063
2008,1,10,14,70126
2008,1,10,15,69171
2008,1,10,16,70551
2008,1,10,17,75157
2008,1,10,18,76368
2008,1,10,19,72900
2008,1,10,20,68444
2008,1,10,21,65262
2008,1,10,22,65718
2008,1,10,23,63449
2008,1,10,24,60334
2008,1,11,1,60021
2008,1,11,2,57626
2008,1,11,3,55850
2008,1,11,4,56609
2008,1,11,5,60895
2008,1,11,6,68351
2008,1,11,7,72518
2008,1,11,8,72121
2008,1,11,9,71792
2008,1,11,10,71645
2008,1,11,11,71400
2008,1,11,12,71365
2008,1,11,13,70305
2008,1,11,14,68690
2008,1,11,15,68014
2008,1,11,16,69245
2008,1,11,17,73298
2008,1,11,18,74302
2008,1,11,19,71208
2008,1,11,20,67491
2008,1,11,21,65101
2008,1,11,22,65944
2008,1,11,23,63812
2008,1,11,24,60575
2008,1,12,1,60118
2008,1,12,2,57304
2008,1,12,3,55268
2008,1,12,4,55017
2008,1,12,5,56437
2008,1,12,6,59306
2008,1,12,7,62741
2008,1,12,8,64782
2008,1,12,9,65638
2008,1,12,10,65206
2008,1,12,11,65472
2008,1,12,12,65546
2008,1,12,13,62926
2008,1,12,14,60451
2008,1,12,15,59230
2008,1,12,16,60546
2008,1,12,17,66560
2008,1,12,18,68828
2008,1,12,19,67170
2008,1,12,20,64278
2008,1,12,21,63042
2008,1,12,22,64804
2008,1,12,23,63042
2008,1,12,24,60509
2008,1,13,1,59973
2008,1,13,2,57074
2008,1,13,3,54496
2008,1,13,4,53654
2008,1,13,5,53841
2008,1,13,6,54775
2008,1,13,7,56459
2008,1,13,8,58374
2008,1,13,9,60800
2008,1,13,10,61871
2008,1,13,11,62639
2008,1,13,12,62571
2008,1,13,13,59397
2008,1,13,14,56655
2008,1,13,15,55836
2008,1,13,16,57914
2008,1,13,17,64620
2008,1,13,18,67668
2008,1,13,19,67377
2008,1,13,20,64896
2008,1,13,21,62968
2008,1,13,22,63961
2008,1,13,23,62136
2008,1,13,24,59674
2008,1,14,1,59912
2008,1,14,2,57824
2008,1,14,3,56198
2008,1,14,4,57646
2008,1,14,5,62291
2008,1,14,6,70052
2008,1,14,7,74612
2008,1,14,8,74507
2008,1,14,9,74330
2008,1,14,10,74210
2008,1,14,11,74038
2008,1,14,12,73773
2008,1,14,13,73288
2008,1,14,14,71409
2008,1,14,15,70481
2008,1,14,16,71182
2008,1,14,17,75823
2008,1,14,18,77352
2008,1,14,19,74041
2008,1,14,20,69504
2008,1,14,21,66599
2008,1,14,22,67151
2008,1,14,23,64916
2008,1,14,24,61979
2008,1,15,1,61831
2008,1,15,2,59598
2008,1,15,3,58117
2008,1,15,4,58927
2008,1,15,5,63416
2008,1,15,6,71125
2008,1,15,7,75386
2008,1,15,8,75247
2008,1,15,9,75114
2008,1,15,10,75147
2008,1,15,11,75091
2008,1,15,12,75193
2008,1,15,13,74737
2008,1,15,14,73252
2008,1,15,15,72482
2008,1,15,16,73532
2008,1,15,17,77275
2008,1,15,18,78331
2008,1,15,19,74548
2008,1,15,20,69996
2008,1,15,21,66689
2008,1,15,22,67154
2008,1,15,23,64656
2008,1,15,24,61652
2008,1,16,1,61408
2008,1,16,2,58852
2008,1,16,3,57279
2008,1,16,4,58282
2008,1,16,5,62371
2008,1,16,6,69297
2008,1,16,7,73822
2008,1,16,8,74564
2008,1,16,9,74511
